miRNA,model,effect_metric,k,effect,se,ci_low,ci_high,p,tau2,I2
hsa-miR-574-5p,Main: GSE190749 + GSE150623,Hedges_g,2,0.29392365906908563,0.8035070140066107,-1.2809500883838714,1.8687974065220427,0.7145135830674001,1.1136807285572508,85.97646228572799
hsa-miR-574-5p,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,3,0.2795789505265124,0.5547163511737679,-0.8076650977740728,1.3668229988270975,0.6142589579743647,0.6535557746756787,72.48978743852282
hsa-miR-1246,Main: GSE190749 + GSE150623,Hedges_g,2,0.3410703946108758,0.6574700794068273,-0.9475709610265057,1.6297117502482572,0.6039268248574443,0.692532264838446,79.57394947422112
hsa-miR-1246,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,3,0.3472067288246328,0.4596563480551281,-0.5537197133634182,1.248133171012684,0.4500320806434388,0.37806686361286096,60.62732470147214
hsa-miR-122-5p,Main: GSE190749 + GSE150623,Hedges_g,2,0.7096066092995855,0.29809397352800965,0.12534242118468664,1.2938707974144843,0.01729012048951062,0.02165603159477696,10.641776588818683
hsa-miR-122-5p,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,2,0.7096066092995855,0.29809397352800965,0.12534242118468664,1.2938707974144843,0.01729012048951062,0.02165603159477696,10.641776588818683
hsa-miR-1303,Main: GSE190749 + GSE150623,Hedges_g,1,0.8594626787414951,0.48747805944770467,-0.09599431777600609,1.8149196752589962,0.077887045735062,0.0,0.0
hsa-miR-1303,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,1,0.8594626787414951,0.48747805944770467,-0.09599431777600609,1.8149196752589962,0.077887045735062,0.0,0.0
hsa-miR-30d-5p,Main: GSE190749 + GSE150623,Hedges_g,2,0.3636034333471641,1.293316871569747,-2.1712976349295396,2.898504501623868,0.778602827750974,3.1393526846017563,93.77223817659758
hsa-miR-30d-5p,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,3,0.3850835391758689,0.8800791434059786,-1.339871581899849,2.110038660251587,0.6617084781903815,2.014016472333895,88.03362896464462
hsa-miR-424-5p,Main: GSE190749 + GSE150623,Hedges_g,2,0.3679407394245628,1.1490373409335182,-1.8841724488051326,2.6200539276542583,0.7488042003597628,2.443165271405851,92.42427262040917
hsa-miR-424-5p,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,2,0.3679407394245628,1.1490373409335182,-1.8841724488051326,2.6200539276542583,0.7488042003597628,2.443165271405851,92.42427262040917
hsa-miR-320a,Main: GSE190749 + GSE150623,Hedges_g,1,0.7724281990619268,0.33769962318712776,0.11053693761515648,1.4343194605086973,0.02217696249031542,0.0,0.0
hsa-miR-320a,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,2,0.16798196505859336,0.7422340028361938,-1.2867966805003463,1.6227606106175332,0.8209529993862459,0.8022255292663234,69.82294264814594
hsa-miR-486-5p,Main: GSE190749 + GSE150623,Hedges_g,1,0.24303470526707058,0.326766657225745,-0.3974279428953895,0.8834973534295307,0.45702402341730486,0.0,0.0
hsa-miR-486-5p,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,2,0.058549359342910466,0.360325012862057,-0.6476876658667212,0.7647863845525422,0.870919679042854,0.05709250948031105,14.472364601231078
hsa-miR-146a-5p,Main: GSE190749 + GSE150623,Hedges_g,1,-0.3173898129047583,0.3276271694027507,-0.9595390649341498,0.3247594391246331,0.33266842708623434,0.0,0.0
hsa-miR-146a-5p,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,1,-0.3173898129047583,0.3276271694027507,-0.9595390649341498,0.3247594391246331,0.33266842708623434,0.0,0.0
hsa-miR-126-5p,Main: GSE190749 + GSE150623,Hedges_g,1,-0.15248980691870462,0.32602529427575655,-0.7914993836991875,0.48651976986177825,0.6399820807879837,0.0,0.0
hsa-miR-126-5p,Exploratory: plus GSE169170 DHF/DSS vs DF,Hedges_g,1,-0.15248980691870462,0.32602529427575655,-0.7914993836991875,0.48651976986177825,0.6399820807879837,0.0,0.0
